uoa_site,scientific_name,common_name,native,introduced,threatened,category,observed_on,quality_grade,latitude,longitude,observer,project_id,observation_id,url
UoA City Campus,Vanicela disjunctella,Titoki moth,True,False,False,Insecta,2025-02-27,research,-36.8504086023,174.7697321687,nate_ollie_k,biota-of-university-of-auckland-city-campus,263217031,https://www.inaturalist.org/observations/263217031
UoA City Campus,Apis mellifera,Western Honey Bee,False,True,False,Insecta,2025-02-27,research,-36.8493920914,174.7705040705,jason_zhou_,biota-of-university-of-auckland-city-campus,263217054,https://www.inaturalist.org/observations/263217054
UoA City Campus,Aedes notoscriptus,Striped Mosquito,False,True,False,Insecta,2025-02-27,research,-36.8506300997,174.7690795997,carabidave,biota-of-university-of-auckland-city-campus,263217106,https://www.inaturalist.org/observations/263217106
UoA City Campus,Corokia × virgata,,True,False,False,Plantae,2025-02-27,research,-36.8504478234,174.7698181058,mothbrain,biota-of-university-of-auckland-city-campus,263217169,https://www.inaturalist.org/observations/263217169
UoA City Campus,Cymbalaria muralis,Ivy-leaved toadflax,False,True,False,Plantae,2025-02-27,research,-36.850370432,174.769846564,nate_ollie_k,biota-of-university-of-auckland-city-campus,263217235,https://www.inaturalist.org/observations/263217235
UoA City Campus,Mallada basalis,,False,True,False,Insecta,2025-02-27,research,-36.8504320615,174.7698020463,mothbrain,biota-of-university-of-auckland-city-campus,263217507,https://www.inaturalist.org/observations/263217507
UoA City Campus,Passer domesticus,House Sparrow,False,True,False,Aves,2025-02-27,research,-36.8507511067,174.7694938629,jason_zhou_,biota-of-university-of-auckland-city-campus,263217517,https://www.inaturalist.org/observations/263217517
UoA City Campus,Phrissogonus laticostata,Apple Looper,False,True,False,Insecta,2025-02-27,research,-36.850343,174.769222,carabidave,biota-of-university-of-auckland-city-campus,263217861,https://www.inaturalist.org/observations/263217861
UoA City Campus,Didymocheton spectabilis,Kohekohe,True,False,False,Plantae,2025-02-27,research,-36.8503516099,174.7696960719,mothbrain,biota-of-university-of-auckland-city-campus,263218142,https://www.inaturalist.org/observations/263218142
UoA City Campus,Turdus merula,Eurasian Blackbird,False,True,False,Aves,2025-02-27,research,-36.8495045773,174.7696120225,jason_zhou_,biota-of-university-of-auckland-city-campus,263218298,https://www.inaturalist.org/observations/263218298
UoA City Campus,Apis mellifera,Western Honey Bee,False,True,False,Insecta,2025-02-27,research,-36.8499794,174.7693342997,carabidave,biota-of-university-of-auckland-city-campus,263218329,https://www.inaturalist.org/observations/263218329
UoA City Campus,Bombus terrestris,Buff-tailed Bumble Bee,False,True,False,Insecta,2025-02-27,research,-36.8499794,174.7693342997,carabidave,biota-of-university-of-auckland-city-campus,263218486,https://www.inaturalist.org/observations/263218486
UoA City Campus,Columba livia domestica,Feral Pigeon,False,True,False,Aves,2025-02-27,research,-36.8497724645,174.7698481569,nate_ollie_k,biota-of-university-of-auckland-city-campus,263218592,https://www.inaturalist.org/observations/263218592
UoA City Campus,Halmus chalybeus,Steelblue Lady Beetle,False,True,False,Insecta,2025-02-27,research,-36.8503371997,174.7697429,carabidave,biota-of-university-of-auckland-city-campus,263219194,https://www.inaturalist.org/observations/263219194
UoA City Campus,Trametes coccinea,Southern Cinnabar Polypore,False,True,False,Fungi,2025-02-27,research,-36.8505868694,174.7706552152,jason_zhou_,biota-of-university-of-auckland-city-campus,263219198,https://www.inaturalist.org/observations/263219198
UoA City Campus,Cornu aspersum,Garden Snail,False,True,False,Mollusca,2025-02-27,research,-36.8505711822,174.770728016,jason_zhou_,biota-of-university-of-auckland-city-campus,263219301,https://www.inaturalist.org/observations/263219301
UoA City Campus,Coprosma macrocarpa,,True,False,False,Plantae,2025-02-27,research,-36.8498367898,174.7698046658,mothbrain,biota-of-university-of-auckland-city-campus,263219702,https://www.inaturalist.org/observations/263219702
UoA City Campus,Lobelia angulata,pānakenake,True,False,False,Plantae,2025-02-27,research,-36.8498052997,174.7691217997,carabidave,biota-of-university-of-auckland-city-campus,263220338,https://www.inaturalist.org/observations/263220338
UoA City Campus,Eriophyes hoheriae,Lacebark Gall Mite,True,False,False,Arachnida,2025-02-27,research,-36.8498687946,174.7700645831,mothbrain,biota-of-university-of-auckland-city-campus,263220392,https://www.inaturalist.org/observations/263220392
UoA City Campus,Amphipsalta cingulata,Clapping Cicada,True,False,False,Insecta,2025-02-27,research,-36.8505021,174.7692018,alex-johnson,biota-of-university-of-auckland-city-campus,263220993,https://www.inaturalist.org/observations/263220993
UoA City Campus,Veronica stricta,Koromiko,True,False,False,Plantae,2025-02-27,research,-36.8500677,174.7694453,alex-johnson,biota-of-university-of-auckland-city-campus,263221032,https://www.inaturalist.org/observations/263221032
UoA City Campus,Bombus terrestris,Buff-tailed Bumble Bee,False,True,False,Insecta,2025-02-27,research,-36.8497414,174.7690053,alex-johnson,biota-of-university-of-auckland-city-campus,263221290,https://www.inaturalist.org/observations/263221290
UoA City Campus,Pyrrosia eleagnifolia,Leather-leaf fern,True,False,False,Plantae,2025-02-27,research,-36.8500334,174.7696562,alex-johnson,biota-of-university-of-auckland-city-campus,263221324,https://www.inaturalist.org/observations/263221324
UoA City Campus,Lobelia angulata,pānakenake,True,False,False,Plantae,2025-02-27,research,-36.8497477,174.7690905,alex-johnson,biota-of-university-of-auckland-city-campus,263221623,https://www.inaturalist.org/observations/263221623
UoA City Campus,Vanicela disjunctella,Titoki moth,True,False,False,Insecta,2025-02-27,research,-36.8503613,174.7695566,alex-johnson,biota-of-university-of-auckland-city-campus,263221704,https://www.inaturalist.org/observations/263221704
UoA City Campus,Olearia paniculata,Akiraho,False,True,False,Plantae,2025-02-27,research,-36.8498209599,174.7693396839,mothbrain,biota-of-university-of-auckland-city-campus,263221755,https://www.inaturalist.org/observations/263221755
UoA City Campus,Halmus chalybeus,Steelblue Lady Beetle,False,True,False,Insecta,2025-02-27,research,-36.8500150949,174.7698528729,charlotte_sutton1,biota-of-university-of-auckland-city-campus,263222124,https://www.inaturalist.org/observations/263222124
